	module id	gene name	median expression	mean pairwise dist	median pairwise dist	min pairwise dist	max pairwise dist	range pairwise dist	operon_name
PA14_51950	27		116.005442826201	17900.641025641027	18390.0	10.0	36630.0	36620.0
PA14_35940	37		21.82416729446625	16886.833333333332	18455.0	40.0	36710.0	36670.0
PA14_63605	21	fdnG	2539.34143126632	17949.090909090908	19275.0	10.0	36070.0	36060.0	fdnG-fdnH-fdnI
PA14_31050	5		693.6549060116536	7290.0	10400.0	10.0	15600.0	15590.0	PA14_31100-PA14_31090-PA14_31080-PA14_31070-PA14_31060-PA14_31050
PA14_59640	37		27.495492570026748	16886.833333333332	18455.0	40.0	36710.0	36670.0	PA14_59640-PA14_59650-PA14_59660-PA14_59670-PA14_59680-PA14_59690-PA14_59700
PA14_35950	3		8.76983298745371	12484.678362573099	15480.0	10.0	35920.0	35910.0	PA14_35990-PA14_35980-PA14_35970-PA14_35950
PA14_64430	13		71.53310027596964	20629.333333333332	20900.0	3320.0	36670.0	33350.0
PA14_61340	9		35.892901305205356	19587.555555555555	18530.0	30.0	36470.0	36440.0	PA14_61350-PA14_61340
PA14_59440	33		63.71253063269026	16742.679738562092	13650.0	10.0	36510.0	36500.0
PA14_15590	14		2014.6304220552151	17863.267973856207	17170.0	10.0	36690.0	36680.0	PA14_15590-PA14_15600
PA14_22240	33		19.6292918767921	16742.679738562092	13650.0	10.0	36510.0	36500.0
PA14_35920	8		43.678674854445646	12549.89010989011	12130.0	10.0	28890.0	28880.0	PA14_35930-PA14_35920
PA14_49510	7	pyoS3I	867.2265810472704	18264.117647058825	20125.0	10.0	36440.0	36430.0	pyoS3A-pyoS3I
PA14_33970	37		51.663943054776496	16886.833333333332	18455.0	40.0	36710.0	36670.0	PA14_34070-PA14_34050-PA14_34030-PA14_34020-PA14_34010-PA14_34000-PA14_33990-PA14_33980-PA14_33970-PA14_33960-PA14_33940
PA14_54880	34		129.8252046924805	12530.545454545454	4230.0	10.0	34010.0	34000.0	PA14_54890-PA14_54880
PA14_59120	6		27.606520363432047	14651.538461538461	13270.0	5.0	30960.0	30955.0	PA14_59000-PA14_59010-PA14_59020-PA14_59030-PA14_59050-PA14_59060-PA14_59070-PA14_59090-PA14_59100-PA14_59110-PA14_59120
PA14_62040	14		286.9281361253825	17863.267973856207	17170.0	10.0	36690.0	36680.0	PA14_62040-PA14_62030-PA14_62020
PA14_33340	21		517.2173425540625	17949.090909090908	19275.0	10.0	36070.0	36060.0	PA14_33350-PA14_33340
PA14_28830	6		1316.14967663198	14651.538461538461	13270.0	5.0	30960.0	30955.0	PA14_28820-PA14_28830-PA14_28840
