BioProject_ID,SRA_ID,Strain,Genotype,Abx_Marker,Variant_Phenotype,Medium,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA528935,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP189356,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA490563,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP161626,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA490563,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP161626,Other Species,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA478032,NA,PA14,NA,Ciprofloxacin,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA534259,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP193631,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA534259,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP193631,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA628595,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP258668,PA14,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA626445,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP257374,PAO1,delta-clpV3,NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA575528,NA,PAO1,"RsmA-VSVG, Hfq-VSVG, Hfq-VSVG delta-rsmA delta-rsmF, RsmA-VSVG, RsmA-VSVG delta-hfq",NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA575528,NA,PAO1,"delta-rsmA delta-rsmF, delta-hfq gene",NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA597754,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP238832,PAO1,,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA554358,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP214490,Clinical Isolates,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA554358,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP214490,Clinical Isolates,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA597059,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP238428,PA14,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA587410,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP228531,AG1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA565718,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP221731,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA561327,NA,PAO1,hfq::3xFLAG,NA,Other,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA561332,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP218985,PAO1,hfq::3xFLAG,NA,Other,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA561330,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP218984,PAO1,hfq::3xFLAG,NA,Other,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA561292,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP218964,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA576918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP225111,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA517074,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP182027,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA517074,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP182027,PA14,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA531832,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP191772,PAO1,delta-anvM,NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA556370,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP216205,PA14,chromosomally encoded mRFP,NA,Other,LB,,
